brand,image,colours
adage_studio_project_x_unrefyned,last_three_10.jpg,White
adage_studio_project_x_unrefyned,last_three_2.jpg,"Black, Grey, Blue"
adage_studio_project_x_unrefyned,last_three_6.jpg,White
adage_studio_project_x_unrefyned,last_three_8.jpg,White
adama_paris,adama_paris_1.jpg,"Yellow, Brown"
adama_paris,adama_paris_10.jpg,Brown
adama_paris,adama_paris_13.jpg,Brown
adama_paris,adama_paris_17.jpg,"Red, Brown, Orange"
adama_paris,adama_paris_18.jpg,Black
adama_paris,adama_paris_19.jpg,"Orange, Brown"
adama_paris,adama_paris_21.jpg,Brown
adama_paris,adama_paris_22.jpg,Brown
adama_paris,adama_paris_23.jpg,Brown
adama_paris,adama_paris_3.jpg,Brown
adama_paris,adama_paris_6.jpg,Yellow
adama_paris,adama_paris_7.jpg,Brown
adama_paris,adama_paris_9.jpg,Yellow
ajabeng,ajabeng_1.jpg,"Yellow, Cream/Khaki/Beige"
ajabeng,ajabeng_10.jpg,Black
ajabeng,ajabeng_11.jpg,Cream/Khaki/Beige
ajabeng,ajabeng_12.jpg,Black
ajabeng,ajabeng_13.jpg,"Black, Grey"
ajabeng,ajabeng_14.jpg,Black
ajabeng,ajabeng_2.jpg,Yellow
ajabeng,ajabeng_3.jpg,"Yellow, Orange"
ajabeng,ajabeng_4.jpg,Blue
ajabeng,ajabeng_5.jpg,Cream/Khaki/Beige
ajabeng,ajabeng_6.jpg,White
ajabeng,ajabeng_7.jpg,Yellow
ajanee,ajanee_1.jpg,Red
ajanee,ajanee_10.jpg,Blue
ajanee,ajanee_11.jpg,"Purple, Brown"
ajanee,ajanee_14.jpg,"Black, Purple, Blue"
ajanee,ajanee_15.jpg,Red
ajanee,ajanee_16.jpg,Black
ajanee,ajanee_19.jpg,Black
ajanee,ajanee_3.jpg,Blue
ajanee,ajanee_4.jpg,"Yellow, Cream/Khaki/Beige"
ajanee,ajanee_5.jpg,Cream/Khaki/Beige
ajanee,ajanee_6.jpg,Cream/Khaki/Beige
ajanee,ajanee_7.jpg,"White, Blue"
ajanee,ajanee_8.jpg,White
ajanee,ajanee_9.jpg,"White, Blue"
babayo,babayo_10.jpg,White
babayo,babayo_11.jpg,"White, Cream/Khaki/Beige"
babayo,babayo_12.jpg,White
babayo,babayo_14.jpg,Cream/Khaki/Beige
babayo,babayo_16.jpg,"Red, Brown"
babayo,babayo_18.jpg,"Red, Brown, Orange"
babayo,babayo_20.jpg,Black
babayo,babayo_21.jpg,Black
